year,month,day,hour,sim_flow_cfs,flow_cfs
1990,9,3,18,16.40821696545278,26.1
1990,9,4,0,16.22259307592853,27.1
1990,9,4,6,18.125034665920317,27.7
1990,9,4,12,18.219442495684163,28.2
1990,9,4,18,18.566075215177577,30.4
1990,9,5,0,18.85771468036809,32.7
1990,9,5,6,19.04369488900103,32.1
1990,9,5,12,18.935056438277222,32.7
1990,9,5,18,18.659008224175743,30.9
1990,9,6,0,18.182828215618414,32.1
1990,9,6,6,16.970022860086033,32.1
1990,9,6,12,16.791632431232884,33.3
1990,9,6,18,16.736240415049984,35.7
1990,9,7,0,16.493889717883818,35.7
1990,9,7,6,15.895769566670573,37
1990,9,7,12,15.806984314096738,40.4
1990,9,7,18,15.961319962986124,38.3
1990,9,8,0,15.81994005231497,36.4
1990,9,8,6,15.50812924336315,37.7
1990,9,8,12,15.378289208129758,37.7
1990,9,8,18,15.275199365576917,36.4
1990,9,9,0,14.999019501671079,37.7
1990,9,9,6,15.023667339830112,38.3
1990,9,9,12,14.974767861411586,39
1990,9,9,18,14.930678036373969,37
1990,9,10,0,14.69658963053049,37
1990,9,10,6,13.803140261173766,37
1990,9,10,12,13.740294095868876,37.7
1990,9,10,18,13.688056097381171,35.7
1990,9,11,0,13.452403087004654,35.1
1990,9,11,6,13.61380451955631,35.7
1990,9,11,12,13.561582520006638,35.7
1990,9,11,18,13.51648073605601,34.5
1990,9,12,0,13.286157649386247,33.9
1990,9,12,6,13.997383871362018,33.9
1990,9,12,12,13.98415641723269,34.5
1990,9,12,18,13.961283358279033,32.7
1990,9,13,0,13.742075156259176,32.7
1990,9,13,6,14.452055988796978,33.3
1990,9,13,12,14.44801310574865,33.9
1990,9,13,18,14.430850169687524,28.7
1990,9,14,0,14.215410482016146,26.6
1990,9,14,6,14.622323258211729,26.6
1990,9,14,12,14.587152166799115,27.7
1990,9,14,18,14.552778749619375,26.1
1990,9,15,0,14.330926376741182,26.6
1990,9,15,6,16.791681908081937,27.1
1990,9,15,12,16.83895973419891,28.2
1990,9,15,18,16.852103349918266,27.1
1990,9,16,0,16.652168115665173,27.1
1990,9,16,6,19.19919749170396,26.6
1990,9,16,12,19.249169086151095,27.1
1990,9,16,18,19.26440692325644,26.6
1990,9,17,0,19.671420095999288,26.6
