month,basin,zone,lower,upper,variable
2,BITM8,BITM8-1,25.2179502171429,74.9867224333334,map
3,BITM8,BITM8-1,31.2327754457143,74.6378782285715,map
4,BITM8,BITM8-1,31.7157288685714,74.5450056685714,map
5,BITM8,BITM8-1,48.3539419,84.0372853885714,map
6,BITM8,BITM8-1,42.2045765,87.1791383885715,map
7,BITM8,BITM8-1,17.6510442,42.37955964,map
8,BITM8,BITM8-1,20.3280772,43.5118401142857,map
9,BITM8,BITM8-1,26.09599175,52.2382046057143,map
10,BITM8,BITM8-1,27.0113433428571,57.7579431942857,map
11,BITM8,BITM8-1,40.1211288,92.7899214628572,map
12,BITM8,BITM8-1,36.6045481058824,90.6764919657143,map
1,BLUO3,BLUO3-1,198.620971457143,356.5345168,map
2,BLUO3,BLUO3-1,157.988490582857,279.129734827778,map
3,BLUO3,BLUO3-1,157.327705954286,278.996235955556,map
4,BLUO3,BLUO3-1,104.119089994286,206.95234835,map
5,BLUO3,BLUO3-1,84.0777214628572,153.069685816667,map
6,BLUO3,BLUO3-1,53.0805477085714,96.5931823388889,map
7,BLUO3,BLUO3-1,14.38179115,29.3720846571429,map
8,BLUO3,BLUO3-1,16.6316914,32.0033685277778,map
9,BLUO3,BLUO3-1,47.745904,79.1808191166667,map
10,BLUO3,BLUO3-1,109.896759051429,177.997676205556,map
11,BLUO3,BLUO3-1,230.714193652941,370.369103594286,map
12,BLUO3,BLUO3-1,243.111090970588,384.114434062857,map
1,BONM8,BONM8-1,27.9017011542857,84.8234806222222,map
2,BONM8,BONM8-1,25.4822575371429,67.4876264333333,map
3,BONM8,BONM8-1,28.6744148742857,65.2179050111111,map
4,BONM8,BONM8-1,27.0018002,68.3127332171429,map
5,BONM8,BONM8-1,41.6107626,85.0665949885714,map
6,BONM8,BONM8-1,39.8702784,82.2929432914286,map
7,BONM8,BONM8-1,15.289784,40.36318572,map
8,BONM8,BONM8-1,17.26025885,42.1055001714286,map
9,BONM8,BONM8-1,22.2414338,49.5365502971429,map
10,BONM8,BONM8-1,28.2856813,53.3059421277778,map
11,BONM8,BONM8-1,38.1686898176471,81.8981431085715,map
12,BONM8,BONM8-1,32.7818989058824,82.3452948685715,map
1,BONO3,BONO3-1,137.66673,211.73050745,map
2,BONO3,BONO3-1,100.453698,166.348457977778,map
3,BONO3,BONO3-1,90.45561665,151.380790427778,map
4,BONO3,BONO3-1,56.17787215,105.270024954286,map
5,BONO3,BONO3-1,37.9367415,76.2075873428571,map
6,BONO3,BONO3-1,25.6121789,48.7812921828571,map
7,BONO3,BONO3-1,5.93594825,16.1345197828571,map
8,BONO3,BONO3-1,8.06850685,17.3682543885714,map
9,BONO3,BONO3-1,23.2175685,43.6282556722222,map
10,BONO3,BONO3-1,66.36005905,104.482786405556,map
11,BONO3,BONO3-1,142.700003434286,218.47146552,map
12,BONO3,BONO3-1,151.5677436,232.433283091429,map
1,BRDQ2,BRDQ2-1,78.3432120857143,187.674718488889,map
2,BRDQ2,BRDQ2-1,51.8221700228571,129.966868166667,map
3,BRDQ2,BRDQ2-1,62.0414064514286,152.898126455556,map
4,BRDQ2,BRDQ2-1,53.8295719371429,115.825976261111,map
5,BRDQ2,BRDQ2-1,63.5321201142858,109.938956172222,map
